,X,Y,Z
0,37.465,1.661,203.865
1,37.465,1.758,203.865
2,37.565,1.761,204.13
3,37.665,1.763,204.397
4,37.565,1.956,204.13
5,37.565,2.054,204.13
6,37.565,2.445,204.13
7,37.565,2.543,204.13
8,37.565,2.641,204.13
9,37.665,2.742,204.397
10,37.665,2.84,204.397
11,37.665,3.134,204.397
12,37.665,3.232,204.397
13,37.665,3.33,204.397
14,37.665,3.428,204.397
15,37.665,3.526,204.397
16,37.665,3.624,204.397
17,37.665,3.722,204.397
18,37.665,3.82,204.397
19,37.665,4.015,204.397
20,37.765,4.217,204.664
21,37.765,4.413,204.664
22,37.765,4.609,204.664
23,37.765,4.707,204.664
24,37.765,4.903,204.664
25,37.765,5.099,204.664
26,37.665,5.289,204.397
27,37.665,5.68,204.397
28,37.765,5.884,204.664
29,37.765,6.178,204.664
30,37.765,6.374,204.664
31,37.765,6.472,204.664
32,37.765,6.767,204.664
33,37.765,6.865,204.664
34,37.866,6.972,204.932
35,37.866,7.168,204.932
36,37.866,7.365,204.932
37,37.765,7.453,204.664
38,37.866,7.463,204.932
39,37.765,7.551,204.664
40,37.765,7.649,204.664
41,37.765,7.943,204.664
42,37.765,8.041,204.664
43,37.765,8.336,204.664
44,37.765,8.434,204.664
45,37.866,8.543,204.932
46,37.866,8.641,204.932
47,37.866,8.838,204.932
48,37.866,8.936,204.932
49,37.966,8.947,205.201
50,37.966,9.341,205.201
51,37.966,9.439,205.201
52,37.966,9.537,205.201
53,37.966,9.636,205.201
54,37.966,9.734,205.201
55,37.966,9.832,205.201
56,37.966,9.931,205.201
57,37.966,10.029,205.201
58,37.966,10.127,205.201
59,37.966,10.226,205.201
60,37.966,10.324,205.201
61,37.966,10.422,205.201
62,37.966,10.521,205.201
63,37.966,10.619,205.201
64,37.966,10.717,205.201
65,37.966,10.816,205.201
66,37.966,10.914,205.201
67,37.966,11.012,205.201
68,37.966,11.111,205.201
69,37.966,11.209,205.201
70,37.966,11.307,205.201
71,37.966,11.406,205.201
72,37.966,11.504,205.201
73,37.966,11.602,205.201
74,37.966,11.7,205.201
75,37.966,11.799,205.201
76,37.966,11.995,205.201
77,38.068,12.11,205.47
78,38.068,12.307,205.47
79,38.068,12.405,205.47
80,38.068,12.503,205.47
81,38.068,12.602,205.47
82,38.068,12.7,205.47
83,38.068,12.799,205.47
84,38.068,12.897,205.47
85,38.068,12.996,205.47
86,38.068,13.094,205.47
87,38.068,13.193,205.47
88,38.068,13.291,205.47
89,38.068,13.39,205.47
90,38.068,13.488,205.47
91,38.068,13.586,205.47
92,38.068,13.685,205.47
93,38.068,13.783,205.47
94,38.068,13.882,205.47
95,38.068,13.98,205.47
96,38.068,14.079,205.47
97,38.068,14.177,205.47
98,38.068,14.571,205.47
99,38.169,14.59,205.74
100,38.169,14.787,205.74
101,38.169,14.886,205.74
102,38.169,14.984,205.74
103,38.169,15.083,205.74
104,38.169,15.182,205.74
105,38.169,15.28,205.74
106,38.169,15.379,205.74
107,38.169,15.477,205.74
108,38.169,15.576,205.74
109,38.169,15.675,205.74
110,38.169,15.773,205.74
111,38.169,15.872,205.74
112,38.27,15.991,206.011
113,38.27,16.189,206.011
114,38.27,16.287,206.011
115,38.27,16.386,206.011
116,38.27,16.485,206.011
117,38.27,16.584,206.011
118,38.27,16.682,206.011
119,38.27,16.88,206.011
120,38.27,16.978,206.011
121,38.27,17.077,206.011
122,38.372,17.198,206.283
123,38.372,17.297,206.283
124,38.372,17.396,206.283
125,38.372,17.495,206.283
126,38.372,17.594,206.283
127,38.372,17.693,206.283
128,38.372,17.791,206.283
129,38.372,17.89,206.283
130,38.372,17.989,206.283
131,38.372,18.088,206.283
132,38.372,18.187,206.283
133,38.372,18.286,206.283
134,38.372,18.385,206.283
135,38.372,18.483,206.283
136,38.372,18.582,206.283
137,38.372,18.681,206.283
138,38.372,18.78,206.283
139,38.372,18.879,206.283
140,38.372,18.978,206.283
141,38.372,19.175,206.283
142,38.372,19.373,206.283
143,38.474,19.498,206.555
144,38.474,19.596,206.555
145,38.474,19.794,206.555
146,38.474,19.893,206.555
147,38.474,19.992,206.555
148,38.474,20.091,206.555
149,38.474,20.19,206.555
150,38.474,20.289,206.555
151,38.474,20.388,206.555
152,38.474,20.487,206.555
153,38.474,20.586,206.555
154,38.474,20.685,206.555
155,38.474,20.784,206.555
156,38.474,20.883,206.555
157,38.474,20.982,206.555
158,38.474,21.081,206.555
159,38.474,21.18,206.555
160,38.474,21.279,206.555
161,38.474,21.378,206.555
162,38.474,21.477,206.555
163,38.474,21.675,206.555
164,38.577,21.704,206.828
165,38.577,22.1,206.828
166,38.577,22.199,206.828
167,38.577,22.298,206.828
168,38.577,22.397,206.828
169,38.577,22.496,206.828
170,38.577,22.595,206.828
171,38.577,22.695,206.828
172,38.577,22.794,206.828
173,38.577,22.893,206.828
174,38.577,22.992,206.828
175,38.577,23.091,206.828
176,38.782,23.351,207.376
177,38.782,23.45,207.376
178,38.782,23.55,207.376
179,38.679,23.915,207.101
180,38.782,23.947,207.376
181,38.679,24.015,207.101
182,38.679,24.213,207.101
183,38.679,24.312,207.101
184,38.679,24.511,207.101
185,38.679,24.61,207.101
186,38.679,24.709,207.101
187,38.679,24.809,207.101
188,38.679,24.908,207.101
189,38.679,25.007,207.101
190,38.679,25.106,207.101
191,38.679,25.205,207.101
192,38.679,25.305,207.101
193,38.679,25.404,207.101
194,38.679,25.503,207.101
195,38.679,25.602,207.101
196,38.679,25.702,207.101
197,38.679,25.801,207.101
198,38.679,25.9,207.101
199,38.679,25.999,207.101
200,38.679,26.099,207.101
201,38.679,26.198,207.101
202,38.679,26.595,207.101
203,38.782,26.63,207.376
204,38.782,26.729,207.376
205,38.782,26.928,207.376
206,38.782,27.027,207.376
207,38.782,27.127,207.376
208,38.782,27.226,207.376
209,38.782,27.326,207.376
210,38.782,27.425,207.376
211,38.782,27.524,207.376
212,38.782,27.624,207.376
213,38.782,27.723,207.376
214,38.782,27.822,207.376
215,38.782,27.922,207.376
216,38.782,28.021,207.376
217,38.782,28.22,207.376
218,38.782,28.419,207.376
219,38.885,28.556,207.651
220,38.885,28.655,207.651
221,38.885,28.755,207.651
222,38.885,28.954,207.651
223,38.885,29.053,207.651
224,38.782,29.213,207.376
225,38.782,29.512,207.376
226,38.885,29.75,207.651
227,38.885,29.849,207.651
228,38.885,30.048,207.651
229,38.885,30.148,207.651
230,38.885,30.247,207.651
231,38.885,30.645,207.651
232,38.989,30.686,207.927
233,38.989,30.885,207.927
234,38.989,30.985,207.927
235,38.989,31.084,207.927
236,38.989,31.184,207.927
237,38.989,31.284,207.927
238,38.989,31.383,207.927
239,38.989,31.483,207.927
240,38.989,31.583,207.927
241,38.989,31.682,207.927
242,38.989,31.782,207.927
243,38.989,31.881,207.927
244,38.989,31.981,207.927
245,38.989,32.081,207.927
246,38.989,32.18,207.927
247,38.989,32.28,207.927
248,38.989,32.38,207.927
249,38.989,32.479,207.927
250,38.989,32.579,207.927
251,38.989,32.678,207.927
252,38.989,32.778,207.927
253,39.093,32.921,208.203
