,X,Y,Z
0,25.966,1.573,205.201
1,25.966,1.77,205.201
2,25.966,1.966,205.201
3,25.866,2.16,204.932
4,25.866,2.258,204.932
5,25.866,2.357,204.932
6,25.866,2.553,204.932
7,25.866,2.651,204.932
8,25.866,2.848,204.932
9,25.866,2.946,204.932
10,25.966,2.95,205.201
11,25.966,3.146,205.201
12,25.966,3.245,205.201
13,25.966,3.343,205.201
14,25.966,3.441,205.201
15,25.966,3.54,205.201
16,25.966,3.638,205.201
17,25.966,3.736,205.201
18,25.966,3.835,205.201
19,25.966,4.031,205.201
20,26.068,4.233,205.47
21,26.068,4.332,205.47
22,26.068,4.529,205.47
23,26.068,4.627,205.47
24,26.068,4.726,205.47
25,26.068,4.824,205.47
26,26.068,4.923,205.47
27,26.068,5.021,205.47
28,26.068,5.12,205.47
29,26.068,5.218,205.47
30,26.068,5.316,205.47
31,26.068,5.415,205.47
32,26.068,5.513,205.47
33,26.068,5.71,205.47
34,26.068,5.809,205.47
35,26.068,5.907,205.47
36,26.068,6.006,205.47
37,26.068,6.104,205.47
38,26.169,6.211,205.74
39,26.169,6.309,205.74
40,26.169,6.408,205.74
41,26.169,6.506,205.74
42,26.169,6.605,205.74
43,26.169,6.704,205.74
44,26.169,6.802,205.74
45,26.169,6.901,205.74
46,26.169,6.999,205.74
47,26.169,7.098,205.74
48,26.169,7.196,205.74
49,26.169,7.394,205.74
50,26.169,7.591,205.74
51,26.27,7.7,206.011
52,26.27,7.897,206.011
53,26.27,7.996,206.011
54,26.27,8.094,206.011
55,26.27,8.193,206.011
56,26.27,8.292,206.011
57,26.27,8.39,206.011
58,26.27,8.489,206.011
59,26.27,8.588,206.011
60,26.27,8.687,206.011
61,26.27,8.785,206.011
62,26.27,8.884,206.011
63,26.27,8.983,206.011
64,26.27,9.081,206.011
65,26.27,9.18,206.011
66,26.27,9.279,206.011
67,26.27,9.378,206.011
68,26.372,9.39,206.283
69,26.372,9.489,206.283
70,26.27,9.674,206.011
71,26.372,9.686,206.283
72,26.27,9.772,206.011
73,26.27,9.97,206.011
74,26.27,10.069,206.011
75,26.27,10.167,206.011
76,26.27,10.266,206.011
77,26.372,10.28,206.283
78,26.372,10.378,206.283
79,26.372,10.477,206.283
80,26.372,10.576,206.283
81,26.372,10.675,206.283
82,26.372,10.774,206.283
83,26.372,10.873,206.283
84,26.372,10.971,206.283
85,26.372,11.07,206.283
86,26.474,11.085,206.555
87,26.474,11.184,206.555
88,26.474,11.382,206.555
89,26.474,11.58,206.555
90,26.474,11.679,206.555
91,26.474,11.778,206.555
92,26.474,11.877,206.555
93,26.474,11.976,206.555
94,26.474,12.075,206.555
95,26.474,12.174,206.555
96,26.474,12.273,206.555
97,26.474,12.372,206.555
98,26.474,12.47,206.555
99,26.474,12.569,206.555
100,26.474,12.668,206.555
101,26.474,12.767,206.555
102,26.474,12.866,206.555
103,26.474,12.965,206.555
104,26.474,13.064,206.555
105,26.474,13.163,206.555
106,26.474,13.262,206.555
107,26.474,13.361,206.555
108,26.474,13.46,206.555
109,26.474,13.559,206.555
110,26.474,13.658,206.555
111,26.474,13.757,206.555
112,26.474,13.856,206.555
113,26.474,13.955,206.555
114,26.474,14.054,206.555
115,26.474,14.153,206.555
116,26.474,14.45,206.555
117,26.577,14.667,206.828
118,26.577,14.965,206.828
119,26.577,15.064,206.828
120,26.577,15.163,206.828
121,26.577,15.262,206.828
122,26.577,15.361,206.828
123,26.577,15.46,206.828
124,26.577,15.559,206.828
125,26.577,15.658,206.828
126,26.577,15.757,206.828
127,26.577,15.856,206.828
128,26.679,16.076,207.101
129,26.679,16.473,207.101
130,26.679,16.572,207.101
131,26.679,16.671,207.101
132,26.679,16.771,207.101
133,26.679,16.87,207.101
134,26.679,16.969,207.101
135,26.679,17.068,207.101
136,26.679,17.167,207.101
137,26.679,17.267,207.101
138,26.679,17.366,207.101
139,26.679,17.465,207.101
140,26.679,17.564,207.101
141,26.679,17.664,207.101
142,26.679,17.763,207.101
143,26.679,17.862,207.101
144,26.679,17.961,207.101
145,26.679,18.061,207.101
146,26.679,18.16,207.101
147,26.679,18.259,207.101
148,26.782,18.283,207.376
149,26.782,18.383,207.376
150,26.782,18.482,207.376
151,26.782,18.581,207.376
152,26.782,18.681,207.376
153,26.782,18.78,207.376
154,26.782,18.979,207.376
155,26.782,19.078,207.376
156,26.782,19.178,207.376
157,26.782,19.277,207.376
158,26.782,19.376,207.376
159,26.782,19.476,207.376
160,26.782,19.575,207.376
161,26.782,19.674,207.376
162,26.782,19.774,207.376
163,26.782,19.873,207.376
164,26.782,20.072,207.376
165,26.782,20.171,207.376
166,26.782,20.271,207.376
167,26.782,20.37,207.376
168,26.782,20.469,207.376
169,26.679,20.541,207.101
170,26.782,20.569,207.376
171,26.679,20.641,207.101
172,26.679,20.839,207.101
173,26.679,20.938,207.101
174,26.782,20.966,207.376
175,26.782,21.364,207.376
176,26.782,21.562,207.376
177,26.782,21.761,207.376
178,26.782,21.86,207.376
179,26.885,21.889,207.651
180,26.885,21.989,207.651
181,26.885,22.088,207.651
182,26.885,22.287,207.651
183,26.885,22.486,207.651
184,26.885,22.685,207.651
185,26.885,22.785,207.651
186,26.885,22.984,207.651
187,26.989,23.114,207.927
188,26.989,23.214,207.927
189,26.989,23.313,207.927
190,26.989,23.413,207.927
191,26.989,23.513,207.927
192,26.989,23.612,207.927
193,26.989,23.712,207.927
194,26.989,23.811,207.927
195,26.989,23.911,207.927
196,26.989,24.011,207.927
197,26.989,24.21,207.927
198,26.989,24.409,207.927
199,27.093,24.541,208.203
200,27.093,24.741,208.203
201,27.093,24.841,208.203
202,27.093,24.94,208.203
203,27.093,25.04,208.203
204,27.093,25.14,208.203
205,27.093,25.24,208.203
206,27.093,25.34,208.203
207,27.093,25.439,208.203
208,27.093,25.539,208.203
209,27.093,25.639,208.203
210,27.093,25.838,208.203
211,27.093,25.938,208.203
212,26.782,25.934,207.376
213,26.989,26.003,207.927
214,27.093,26.038,208.203
215,27.093,26.138,208.203
216,27.197,26.172,208.481
217,27.197,26.272,208.481
218,27.197,26.372,208.481
219,27.197,26.472,208.481
220,27.197,26.572,208.481
221,27.197,26.672,208.481
222,27.197,26.772,208.481
223,27.197,26.872,208.481
224,27.197,26.972,208.481
225,27.197,27.072,208.481
226,27.197,27.171,208.481
227,27.197,27.271,208.481
228,27.197,27.371,208.481
229,27.197,27.471,208.481
230,27.197,27.571,208.481
231,27.197,27.671,208.481
232,27.197,27.771,208.481
233,27.197,27.871,208.481
234,27.197,27.971,208.481
235,27.301,28.008,208.759
236,27.301,28.108,208.759
237,27.301,28.308,208.759
238,27.301,28.508,208.759
239,27.301,28.608,208.759
240,27.301,28.708,208.759
241,27.301,28.808,208.759
242,27.197,29.069,208.481
243,27.197,29.269,208.481
244,27.301,29.408,208.759
245,27.301,29.608,208.759
246,27.301,29.708,208.759
247,27.301,29.808,208.759
248,27.301,29.908,208.759
249,27.301,30.008,208.759
250,27.301,30.108,208.759
251,27.301,30.208,208.759
252,27.301,30.309,208.759
253,27.301,30.409,208.759
254,27.301,30.509,208.759
255,27.301,30.609,208.759
256,27.301,30.709,208.759
257,27.301,30.809,208.759
258,27.301,30.909,208.759
259,27.301,31.009,208.759
260,27.301,31.109,208.759
261,27.301,31.209,208.759
262,27.405,31.351,209.037
263,27.405,31.451,209.037
264,27.405,31.551,209.037
265,27.405,31.651,209.037
266,27.405,31.751,209.037
267,27.405,31.952,209.037
268,27.405,32.052,209.037
269,27.405,32.252,209.037
270,27.405,32.452,209.037
271,27.301,32.609,208.759
272,27.405,32.853,209.037
273,27.405,33.053,209.037
274,27.405,33.154,209.037
275,27.405,33.354,209.037
276,27.405,33.554,209.037
277,27.405,33.754,209.037
278,27.405,33.855,209.037
279,27.405,34.055,209.037
280,27.51,34.301,209.317
281,27.51,34.401,209.317
282,27.51,34.502,209.317
283,27.51,34.602,209.317
284,27.51,34.702,209.317
285,27.51,34.803,209.317
286,27.51,34.903,209.317
287,27.51,35.003,209.317
288,27.51,35.103,209.317
289,27.51,35.204,209.317
290,27.51,35.304,209.317
291,27.51,35.705,209.317
292,27.615,35.753,209.597
293,27.615,35.853,209.597
294,27.615,36.054,209.597
295,27.615,36.155,209.597
296,27.615,36.255,209.597
297,27.615,36.356,209.597
298,27.615,36.456,209.597
299,27.615,36.556,209.597
300,27.615,36.657,209.597
301,27.615,36.757,209.597
302,27.615,36.858,209.597
303,27.615,36.958,209.597
304,27.615,37.059,209.597
305,27.615,37.159,209.597
306,27.615,37.26,209.597
307,27.615,37.36,209.597
308,27.615,37.46,209.597
309,27.615,37.561,209.597
310,27.615,37.661,209.597
