,X,Y,Z
0,42.0,1.533,199.958
1,42.0,1.629,199.958
2,42.0,1.725,199.958
3,42.0,1.82,199.958
4,42.0,1.916,199.958
5,42.0,2.012,199.958
6,42.0,2.108,199.958
7,42.0,2.204,199.958
8,42.0,2.299,199.958
9,42.0,2.395,199.958
10,42.0,2.491,199.958
11,42.0,2.587,199.958
12,42.0,2.683,199.958
13,42.0,2.779,199.958
14,42.0,2.874,199.958
15,42.0,2.97,199.958
16,42.0,3.066,199.958
17,42.0,3.162,199.958
18,42.0,3.258,199.958
19,42.0,3.353,199.958
20,42.0,3.449,199.958
21,42.0,3.545,199.958
22,42.0,3.641,199.958
23,42.0,3.737,199.958
24,42.0,3.832,199.958
25,42.0,3.928,199.958
26,42.0,4.024,199.958
27,42.0,4.12,199.958
28,42.0,4.216,199.958
29,42.0,4.312,199.958
30,42.0,4.407,199.958
31,42.0,4.503,199.958
32,42.0,4.599,199.958
33,42.0,4.695,199.958
34,42.0,4.791,199.958
35,42.0,4.886,199.958
36,42.0,4.982,199.958
37,42.0,5.078,199.958
38,42.0,5.174,199.958
39,42.0,5.27,199.958
40,42.0,5.365,199.958
41,42.0,5.461,199.958
42,42.0,5.557,199.958
43,42.0,5.653,199.958
44,42.0,5.749,199.958
45,42.0,5.844,199.958
46,42.0,5.94,199.958
47,42.0,6.036,199.958
48,42.0,6.132,199.958
49,42.0,6.228,199.958
50,42.0,6.324,199.958
51,42.0,6.419,199.958
52,42.0,6.515,199.958
53,42.0,6.611,199.958
54,42.0,6.707,199.958
55,42.0,6.803,199.958
56,42.0,6.898,199.958
57,42.096,6.907,200.214
58,42.096,7.003,200.214
59,42.096,7.195,200.214
60,42.096,7.387,200.214
61,42.096,7.483,200.214
62,42.096,7.579,200.214
63,42.096,7.675,200.214
64,42.096,7.771,200.214
65,42.096,7.867,200.214
66,42.096,8.058,200.214
67,42.096,8.25,200.214
68,42.0,8.336,199.958
69,42.096,8.346,200.214
70,42.0,8.431,199.958
71,42.0,8.527,199.958
72,42.0,8.623,199.958
73,42.0,8.719,199.958
74,42.0,8.815,199.958
75,42.0,8.91,199.958
76,42.0,9.006,199.958
77,42.0,9.102,199.958
78,42.0,9.198,199.958
79,42.0,9.294,199.958
80,42.0,9.389,199.958
81,42.0,9.485,199.958
82,42.0,9.677,199.958
83,42.096,9.785,200.214
