,X,Y,Z
0,7.665,1.469,204.397
1,7.765,1.471,204.664
2,7.765,1.569,204.664
3,7.765,1.667,204.664
4,7.765,1.765,204.664
5,7.765,1.863,204.664
6,7.765,1.961,204.664
7,7.765,2.059,204.664
8,7.765,2.157,204.664
9,7.765,2.256,204.664
10,7.765,2.452,204.664
11,7.765,2.55,204.664
12,7.765,2.746,204.664
13,7.866,2.946,204.932
14,7.866,3.044,204.932
15,7.866,3.142,204.932
16,7.866,3.24,204.932
17,7.866,3.339,204.932
18,7.866,3.437,204.932
19,7.866,3.535,204.932
20,7.866,3.633,204.932
21,7.866,3.731,204.932
22,7.866,3.83,204.932
23,7.866,3.928,204.932
24,7.866,4.124,204.932
25,7.866,4.222,204.932
26,7.866,4.419,204.932
27,7.866,4.517,204.932
28,7.966,4.523,205.201
29,7.966,4.72,205.201
30,7.966,4.818,205.201
31,7.966,4.916,205.201
32,7.966,5.014,205.201
33,7.966,5.113,205.201
34,7.966,5.211,205.201
35,7.966,5.309,205.201
36,7.966,5.408,205.201
37,7.966,5.506,205.201
38,7.966,5.604,205.201
39,7.966,5.703,205.201
40,7.966,5.801,205.201
41,7.966,5.899,205.201
42,7.966,5.998,205.201
43,7.966,6.096,205.201
44,7.966,6.194,205.201
45,7.966,6.293,205.201
46,7.966,6.391,205.201
47,8.068,6.596,205.47
48,8.068,6.793,205.47
49,8.068,6.892,205.47
50,8.068,7.089,205.47
51,8.068,7.285,205.47
52,8.068,7.482,205.47
53,8.169,7.689,205.74
54,8.169,7.887,205.74
55,8.169,7.985,205.74
56,8.169,8.084,205.74
57,8.169,8.182,205.74
58,8.169,8.281,205.74
59,8.169,8.379,205.74
60,8.169,8.478,205.74
61,8.169,8.577,205.74
62,8.169,8.675,205.74
63,8.169,8.774,205.74
64,8.169,8.872,205.74
65,8.169,8.971,205.74
66,8.169,9.07,205.74
67,8.169,9.168,205.74
68,8.169,9.267,205.74
69,8.169,9.365,205.74
70,8.169,9.464,205.74
71,8.169,9.562,205.74
72,8.169,9.661,205.74
73,8.169,9.76,205.74
74,8.169,9.858,205.74
75,8.169,9.957,205.74
76,8.169,10.055,205.74
77,8.169,10.154,205.74
78,8.169,10.253,205.74
79,8.169,10.351,205.74
80,8.169,10.45,205.74
81,8.169,10.548,205.74
82,8.169,10.647,205.74
83,8.169,10.745,205.74
84,8.169,10.844,205.74
85,8.169,10.943,205.74
86,8.169,11.041,205.74
87,8.27,11.154,206.011
88,8.27,11.352,206.011
89,8.27,11.451,206.011
90,8.27,11.648,206.011
91,8.27,11.747,206.011
92,8.27,11.845,206.011
93,8.27,11.944,206.011
94,8.27,12.043,206.011
95,8.27,12.142,206.011
96,8.27,12.24,206.011
97,8.27,12.339,206.011
98,8.27,12.438,206.011
99,8.27,12.536,206.011
100,8.27,12.635,206.011
101,8.27,12.734,206.011
102,8.27,12.833,206.011
103,8.27,12.931,206.011
104,8.27,13.03,206.011
