,X,Y,Z
0,15.565,1.369,204.13
1,15.565,1.467,204.13
2,15.665,1.469,204.397
3,15.665,1.567,204.397
4,15.665,1.665,204.397
5,15.665,1.763,204.397
6,15.665,1.861,204.397
7,15.665,1.959,204.397
8,15.665,2.057,204.397
9,15.665,2.155,204.397
10,15.665,2.253,204.397
11,15.665,2.448,204.397
12,15.665,2.546,204.397
13,15.665,2.644,204.397
14,15.665,2.84,204.397
15,15.665,3.036,204.397
16,15.765,3.04,204.664
17,15.765,3.236,204.664
18,15.765,3.334,204.664
19,15.765,3.432,204.664
20,15.866,3.437,204.932
21,15.866,3.535,204.932
22,15.866,3.731,204.932
23,15.866,3.928,204.932
24,15.866,4.026,204.932
25,15.866,4.124,204.932
26,15.866,4.222,204.932
27,15.866,4.321,204.932
28,15.866,4.419,204.932
29,15.866,4.517,204.932
30,15.866,4.615,204.932
31,15.866,4.713,204.932
32,15.866,4.812,204.932
33,15.866,4.91,204.932
34,15.866,5.008,204.932
35,15.866,5.106,204.932
36,15.866,5.204,204.932
37,15.866,5.303,204.932
38,15.866,5.401,204.932
39,15.866,5.499,204.932
40,15.966,5.506,205.201
41,15.966,5.703,205.201
42,15.966,5.998,205.201
43,15.866,6.088,204.932
44,15.866,6.186,204.932
45,15.866,6.383,204.932
46,15.966,6.391,205.201
47,15.966,6.489,205.201
48,15.966,6.686,205.201
49,15.966,6.784,205.201
50,15.966,6.981,205.201
51,15.966,7.079,205.201
52,15.966,7.178,205.201
53,15.966,7.276,205.201
54,15.966,7.473,205.201
55,15.966,7.669,205.201
56,16.068,7.778,205.47
57,16.068,7.876,205.47
58,16.068,7.975,205.47
59,16.068,8.073,205.47
60,16.068,8.172,205.47
61,16.068,8.27,205.47
62,16.068,8.368,205.47
63,16.068,8.467,205.47
64,16.068,8.565,205.47
65,16.068,8.762,205.47
66,16.169,8.774,205.74
67,16.169,8.872,205.74
68,16.169,8.971,205.74
69,16.169,9.168,205.74
70,16.169,9.365,205.74
71,16.169,9.464,205.74
72,16.169,9.562,205.74
73,16.169,9.661,205.74
74,16.169,9.76,205.74
75,16.169,9.858,205.74
76,16.169,9.957,205.74
77,16.169,10.055,205.74
78,16.169,10.154,205.74
79,16.169,10.253,205.74
80,16.169,10.351,205.74
81,16.169,10.45,205.74
82,16.169,10.548,205.74
83,16.169,10.647,205.74
84,16.169,10.745,205.74
85,16.169,10.844,205.74
86,16.169,10.943,205.74
87,16.169,11.238,205.74
88,16.169,11.337,205.74
89,16.27,11.451,206.011
90,16.27,11.549,206.011
91,16.27,11.648,206.011
92,16.27,11.845,206.011
