,X,Y,Z
0,31.465,1.563,203.865
1,31.565,1.565,204.13
2,31.565,1.663,204.13
3,31.565,1.761,204.13
4,31.565,1.858,204.13
5,31.565,1.956,204.13
6,31.565,2.054,204.13
7,31.565,2.152,204.13
8,31.565,2.25,204.13
9,31.565,2.347,204.13
10,31.665,2.351,204.397
11,31.665,2.448,204.397
12,31.665,2.644,204.397
13,31.665,2.84,204.397
14,31.665,2.938,204.397
15,31.665,3.036,204.397
16,31.665,3.134,204.397
17,31.665,3.232,204.397
18,31.665,3.33,204.397
19,31.665,3.428,204.397
20,31.665,3.526,204.397
21,31.665,3.624,204.397
22,31.665,3.722,204.397
23,31.665,3.82,204.397
24,31.665,4.015,204.397
25,31.765,4.217,204.664
26,31.765,4.413,204.664
27,31.765,4.609,204.664
28,31.765,4.707,204.664
29,31.765,4.805,204.664
30,31.765,4.903,204.664
31,31.765,5.001,204.664
32,31.765,5.099,204.664
33,31.765,5.198,204.664
34,31.765,5.296,204.664
35,31.765,5.394,204.664
36,31.765,5.492,204.664
37,31.866,5.597,204.932
38,31.866,5.793,204.932
39,31.866,5.99,204.932
40,31.866,6.088,204.932
41,31.866,6.186,204.932
42,31.866,6.284,204.932
43,31.866,6.481,204.932
44,31.866,6.579,204.932
45,31.866,6.677,204.932
46,31.866,6.775,204.932
47,31.866,6.874,204.932
48,31.866,6.972,204.932
49,31.966,6.981,205.201
50,31.966,7.079,205.201
51,31.966,7.178,205.201
52,31.966,7.276,205.201
53,31.966,7.374,205.201
54,31.966,7.473,205.201
55,31.966,7.571,205.201
56,31.966,7.669,205.201
57,31.966,7.768,205.201
58,31.966,7.866,205.201
59,31.966,7.964,205.201
60,31.966,8.063,205.201
61,31.966,8.161,205.201
62,31.966,8.259,205.201
63,31.966,8.357,205.201
64,31.966,8.456,205.201
65,31.966,8.554,205.201
66,31.966,8.652,205.201
67,31.966,8.751,205.201
68,31.966,8.849,205.201
69,31.966,8.947,205.201
70,31.966,9.046,205.201
71,31.966,9.144,205.201
72,31.966,9.242,205.201
73,31.966,9.341,205.201
74,31.966,9.439,205.201
75,31.966,9.636,205.201
76,32.068,9.747,205.47
77,32.068,9.944,205.47
78,32.068,10.042,205.47
79,32.068,10.141,205.47
80,32.068,10.239,205.47
81,32.068,10.338,205.47
82,32.068,10.436,205.47
83,32.068,10.534,205.47
84,32.068,10.633,205.47
85,32.068,10.731,205.47
86,32.068,10.83,205.47
87,32.068,10.928,205.47
88,32.068,11.027,205.47
89,32.068,11.125,205.47
90,32.068,11.224,205.47
91,32.068,11.322,205.47
92,32.068,11.42,205.47
93,32.068,11.519,205.47
94,32.068,11.617,205.47
95,32.068,11.716,205.47
96,32.068,11.814,205.47
97,32.068,11.913,205.47
98,32.068,12.011,205.47
99,32.068,12.11,205.47
100,32.068,12.208,205.47
101,32.068,12.307,205.47
102,32.068,12.405,205.47
103,32.068,12.503,205.47
104,32.068,12.602,205.47
105,32.068,12.996,205.47
106,32.169,13.013,205.74
107,32.169,13.21,205.74
108,32.169,13.309,205.74
109,32.169,13.407,205.74
110,32.169,13.506,205.74
111,32.169,13.604,205.74
112,32.169,13.703,205.74
113,32.169,13.801,205.74
114,32.169,13.9,205.74
115,32.169,13.999,205.74
116,32.169,14.097,205.74
117,32.169,14.294,205.74
118,32.27,14.412,206.011
119,32.372,14.53,206.283
120,32.372,14.727,206.283
121,32.372,14.826,206.283
122,32.372,14.925,206.283
123,32.372,15.024,206.283
124,32.372,15.123,206.283
125,32.372,15.222,206.283
126,32.372,15.32,206.283
127,32.372,15.419,206.283
128,32.372,15.518,206.283
129,32.372,15.617,206.283
130,32.372,15.716,206.283
131,32.372,15.815,206.283
132,32.372,16.012,206.283
133,32.372,16.111,206.283
134,32.27,16.189,206.011
135,32.372,16.408,206.283
136,32.372,16.507,206.283
137,32.372,16.605,206.283
138,32.372,16.704,206.283
139,32.372,16.803,206.283
140,32.372,17.001,206.283
141,32.27,17.077,206.011
142,32.27,17.275,206.011
143,32.372,17.297,206.283
144,32.372,17.396,206.283
145,32.372,17.495,206.283
146,32.372,17.594,206.283
147,32.372,17.693,206.283
148,32.372,17.89,206.283
149,32.474,18.013,206.555
150,32.474,18.112,206.555
151,32.474,18.211,206.555
152,32.474,18.31,206.555
153,32.474,18.409,206.555
154,32.474,18.508,206.555
155,32.474,18.607,206.555
156,32.474,18.706,206.555
157,32.474,18.805,206.555
158,32.474,18.904,206.555
159,32.474,19.003,206.555
160,32.474,19.102,206.555
161,32.474,19.201,206.555
162,32.474,19.3,206.555
163,32.474,19.399,206.555
164,32.474,19.498,206.555
165,32.474,19.596,206.555
166,32.474,19.695,206.555
167,32.474,19.794,206.555
168,32.474,19.893,206.555
169,32.474,19.992,206.555
170,32.474,20.091,206.555
171,32.474,20.19,206.555
172,32.474,20.289,206.555
173,32.474,20.388,206.555
174,32.474,20.487,206.555
175,32.474,20.586,206.555
176,32.474,20.685,206.555
177,32.474,20.784,206.555
178,32.474,20.883,206.555
179,32.474,20.982,206.555
180,32.474,21.081,206.555
181,32.474,21.18,206.555
182,32.474,21.279,206.555
183,32.474,21.378,206.555
184,32.474,21.477,206.555
185,32.474,21.675,206.555
186,32.577,21.704,206.828
187,32.577,22.1,206.828
188,32.577,22.199,206.828
189,32.577,22.298,206.828
190,32.577,22.397,206.828
191,32.577,22.595,206.828
192,32.679,22.725,207.101
193,32.679,22.923,207.101
194,32.679,23.122,207.101
195,32.679,23.32,207.101
196,32.577,23.388,206.828
197,32.679,23.419,207.101
198,32.577,23.487,206.828
199,32.577,23.586,206.828
200,32.577,23.785,206.828
201,32.577,23.884,206.828
202,32.577,23.983,206.828
203,32.577,24.181,206.828
204,32.679,24.312,207.101
205,32.679,24.511,207.101
206,32.679,24.61,207.101
207,32.679,24.809,207.101
208,32.679,25.007,207.101
209,32.782,25.239,207.376
210,32.782,25.338,207.376
211,32.782,25.438,207.376
212,32.782,25.736,207.376
213,32.885,26.068,207.651
214,32.885,26.168,207.651
215,32.885,26.267,207.651
216,32.885,26.367,207.651
217,32.782,26.63,207.376
218,32.782,26.928,207.376
219,32.782,27.027,207.376
220,32.782,27.226,207.376
221,32.885,27.362,207.651
222,32.885,27.561,207.651
223,32.885,27.66,207.651
224,32.885,27.76,207.651
225,32.885,27.859,207.651
226,32.885,27.959,207.651
