,X,Y,Z
0,19.665,1.567,204.397
1,19.665,1.665,204.397
2,19.665,1.763,204.397
3,19.665,1.861,204.397
4,19.665,1.959,204.397
5,19.665,2.057,204.397
6,19.665,2.155,204.397
7,19.665,2.253,204.397
8,19.665,2.351,204.397
9,19.665,2.448,204.397
10,19.665,2.644,204.397
11,19.765,2.648,204.664
12,19.765,3.04,204.664
13,19.765,3.138,204.664
14,19.765,3.236,204.664
15,19.765,3.334,204.664
16,19.765,3.432,204.664
17,19.765,3.53,204.664
18,19.765,3.628,204.664
19,19.765,3.727,204.664
20,19.765,3.825,204.664
21,19.765,3.923,204.664
22,19.765,4.021,204.664
23,19.765,4.217,204.664
24,19.765,4.315,204.664
25,19.866,4.517,204.932
26,19.866,4.713,204.932
27,19.866,4.812,204.932
28,19.866,4.91,204.932
29,19.866,5.008,204.932
30,19.866,5.106,204.932
31,19.866,5.204,204.932
32,19.866,5.303,204.932
33,19.866,5.401,204.932
34,19.866,5.499,204.932
35,19.866,5.597,204.932
36,19.866,5.695,204.932
37,19.866,5.793,204.932
38,19.866,5.892,204.932
39,19.866,5.99,204.932
40,19.866,6.088,204.932
41,19.866,6.186,204.932
42,19.866,6.383,204.932
43,19.966,6.391,205.201
44,19.966,6.489,205.201
45,19.966,6.686,205.201
46,19.966,6.784,205.201
47,19.966,6.981,205.201
48,19.966,7.079,205.201
49,19.966,7.178,205.201
50,19.966,7.276,205.201
51,19.966,7.374,205.201
52,19.966,7.473,205.201
53,19.966,7.571,205.201
54,19.966,7.669,205.201
55,19.966,7.768,205.201
56,19.966,7.866,205.201
57,19.966,7.964,205.201
58,19.966,8.063,205.201
59,19.966,8.161,205.201
60,19.966,8.259,205.201
61,19.966,8.357,205.201
62,19.966,8.456,205.201
63,19.966,8.554,205.201
64,19.966,8.652,205.201
65,19.966,8.849,205.201
66,20.068,8.959,205.47
67,20.068,9.156,205.47
68,20.068,9.255,205.47
69,20.068,9.353,205.47
70,20.068,9.451,205.47
71,20.068,9.55,205.47
72,20.068,9.648,205.47
73,20.068,9.747,205.47
74,20.068,9.845,205.47
75,20.068,9.944,205.47
76,20.068,10.042,205.47
77,20.068,10.141,205.47
78,20.068,10.338,205.47
79,20.169,10.548,205.74
80,20.169,10.844,205.74
81,20.169,11.041,205.74
82,20.169,11.14,205.74
83,20.169,11.238,205.74
84,20.169,11.337,205.74
85,20.169,11.435,205.74
86,20.169,11.534,205.74
87,20.169,11.633,205.74
88,20.169,11.731,205.74
89,20.169,11.83,205.74
90,20.169,11.928,205.74
91,20.169,12.126,205.74
92,20.169,12.323,205.74
93,20.27,12.438,206.011
94,20.27,12.635,206.011
95,20.27,12.734,206.011
96,20.27,12.833,206.011
97,20.27,12.931,206.011
98,20.27,13.03,206.011
99,20.27,13.129,206.011
100,20.27,13.227,206.011
101,20.27,13.326,206.011
102,20.27,13.425,206.011
103,20.27,13.523,206.011
104,20.27,13.622,206.011
105,20.27,13.721,206.011
106,20.27,13.82,206.011
107,20.27,13.918,206.011
108,20.27,14.017,206.011
109,20.27,14.116,206.011
110,20.27,14.214,206.011
111,20.27,14.313,206.011
112,20.372,14.431,206.283
113,20.372,14.53,206.283
114,20.372,14.629,206.283
115,20.372,14.826,206.283
116,20.372,14.925,206.283
117,20.372,15.024,206.283
118,20.372,15.222,206.283
119,20.372,15.419,206.283
120,20.474,15.539,206.555
121,20.474,15.638,206.555
122,20.474,15.836,206.555
123,20.372,15.914,206.283
124,20.372,16.111,206.283
125,20.372,16.21,206.283
126,20.372,16.408,206.283
127,20.372,16.507,206.283
