,X,Y,Z
0,45.765,1.373,204.664
1,45.765,1.471,204.664
2,45.866,1.571,204.932
3,45.866,1.768,204.932
4,45.866,1.866,204.932
5,45.866,2.062,204.932
6,45.966,2.261,205.201
7,45.966,2.36,205.201
8,45.966,2.458,205.201
9,45.966,2.556,205.201
10,45.966,2.655,205.201
11,45.966,2.753,205.201
12,45.966,2.851,205.201
13,45.966,2.95,205.201
14,45.966,3.048,205.201
15,45.966,3.146,205.201
16,45.966,3.245,205.201
17,45.966,3.343,205.201
18,45.966,3.441,205.201
19,45.966,3.54,205.201
20,45.966,3.638,205.201
21,45.966,3.736,205.201
22,45.966,3.835,205.201
23,45.966,3.933,205.201
24,45.966,4.031,205.201
25,46.068,4.233,205.47
26,46.068,4.43,205.47
27,46.068,4.529,205.47
28,46.068,4.726,205.47
29,46.068,4.824,205.47
30,46.068,4.923,205.47
31,46.068,5.021,205.47
32,46.068,5.12,205.47
33,46.068,5.218,205.47
34,46.068,5.316,205.47
35,46.068,5.415,205.47
36,46.068,5.513,205.47
37,46.068,5.71,205.47
38,46.068,5.809,205.47
39,46.068,5.907,205.47
40,46.068,6.006,205.47
41,46.068,6.104,205.47
42,46.169,6.211,205.74
43,46.169,6.309,205.74
44,46.169,6.408,205.74
45,46.169,6.506,205.74
46,46.169,6.605,205.74
47,46.169,6.704,205.74
48,46.169,6.802,205.74
49,46.169,6.901,205.74
50,46.169,6.999,205.74
51,46.169,7.098,205.74
52,46.169,7.196,205.74
53,46.169,7.295,205.74
54,46.169,7.394,205.74
55,46.169,7.492,205.74
56,46.169,7.591,205.74
57,46.169,7.689,205.74
58,46.169,7.788,205.74
59,46.169,7.887,205.74
60,46.169,7.985,205.74
61,46.27,8.094,206.011
62,46.27,8.292,206.011
63,46.27,8.39,206.011
64,46.27,8.489,206.011
65,46.27,8.588,206.011
66,46.27,8.687,206.011
67,46.27,8.785,206.011
68,46.27,8.884,206.011
69,46.27,8.983,206.011
70,46.27,9.081,206.011
71,46.27,9.18,206.011
72,46.27,9.279,206.011
73,46.27,9.378,206.011
74,46.372,9.39,206.283
75,46.372,9.489,206.283
76,46.372,9.588,206.283
77,46.372,9.686,206.283
78,46.372,9.785,206.283
79,46.372,9.884,206.283
80,46.372,9.983,206.283
81,46.372,10.082,206.283
82,46.27,10.167,206.011
83,46.372,10.181,206.283
84,46.27,10.266,206.011
85,46.27,10.365,206.011
86,46.27,10.463,206.011
87,46.27,10.562,206.011
88,46.27,10.661,206.011
89,46.27,10.76,206.011
90,46.27,10.858,206.011
91,46.27,10.957,206.011
92,46.372,10.971,206.283
93,46.372,11.07,206.283
94,46.372,11.169,206.283
95,46.372,11.268,206.283
96,46.372,11.367,206.283
97,46.372,11.466,206.283
98,46.372,11.564,206.283
99,46.372,11.663,206.283
100,46.372,11.762,206.283
101,46.372,11.861,206.283
102,46.372,11.96,206.283
103,46.372,12.158,206.283
104,46.372,12.256,206.283
105,46.372,12.454,206.283
106,46.474,12.569,206.555
107,46.474,12.668,206.555
108,46.474,12.767,206.555
109,46.474,12.866,206.555
110,46.474,12.965,206.555
111,46.474,13.064,206.555
112,46.474,13.163,206.555
113,46.474,13.262,206.555
114,46.474,13.361,206.555
115,46.474,13.46,206.555
116,46.474,13.559,206.555
117,46.474,13.658,206.555
118,46.474,13.757,206.555
119,46.474,13.856,206.555
120,46.474,13.955,206.555
121,46.474,14.054,206.555
122,46.474,14.153,206.555
123,46.474,14.45,206.555
124,46.474,14.549,206.555
125,46.372,14.629,206.283
126,46.372,14.727,206.283
127,46.372,14.826,206.283
128,46.474,15.143,206.555
129,46.474,15.341,206.555
130,46.474,15.44,206.555
131,46.474,15.539,206.555
132,46.577,15.559,206.828
133,46.577,15.658,206.828
134,46.577,15.856,206.828
135,46.577,15.956,206.828
136,46.577,16.055,206.828
137,46.577,16.154,206.828
138,46.577,16.253,206.828
139,46.577,16.352,206.828
140,46.577,16.451,206.828
141,46.577,16.55,206.828
142,46.577,16.649,206.828
143,46.577,16.748,206.828
144,46.577,16.847,206.828
145,46.577,17.046,206.828
146,46.679,17.167,207.101
147,46.679,17.366,207.101
148,46.679,17.465,207.101
149,46.679,17.564,207.101
150,46.679,17.664,207.101
151,46.679,17.763,207.101
152,46.679,17.862,207.101
153,46.679,17.961,207.101
154,46.679,18.061,207.101
155,46.679,18.16,207.101
156,46.679,18.358,207.101
157,46.782,18.383,207.376
158,46.782,18.482,207.376
159,46.782,18.681,207.376
160,46.782,18.78,207.376
161,46.782,18.979,207.376
162,46.782,19.078,207.376
163,46.782,19.277,207.376
164,46.782,19.376,207.376
165,46.782,19.575,207.376
166,46.679,19.648,207.101
167,46.782,19.674,207.376
168,46.679,19.847,207.101
169,46.679,20.045,207.101
170,46.679,20.145,207.101
171,46.782,20.171,207.376
172,46.782,20.569,207.376
173,46.782,20.668,207.376
174,46.782,20.767,207.376
175,46.782,20.867,207.376
176,46.782,20.966,207.376
177,46.782,21.065,207.376
178,46.782,21.165,207.376
179,46.782,21.264,207.376
180,46.782,21.364,207.376
181,46.782,21.562,207.376
182,46.885,21.79,207.651
183,46.885,21.889,207.651
184,46.885,22.088,207.651
185,46.885,22.188,207.651
186,46.885,22.287,207.651
187,46.885,22.586,207.651
188,46.989,22.815,207.927
189,46.989,23.114,207.927
190,46.989,23.214,207.927
191,46.989,23.313,207.927
192,46.989,23.413,207.927
193,46.989,23.513,207.927
194,46.989,23.612,207.927
195,46.989,23.712,207.927
196,46.989,23.811,207.927
197,46.989,23.911,207.927
198,46.989,24.011,207.927
199,46.989,24.11,207.927
200,46.989,24.21,207.927
201,46.989,24.31,207.927
202,46.989,24.409,207.927
203,46.989,24.509,207.927
204,46.989,24.608,207.927
205,46.989,24.808,207.927
206,46.989,24.907,207.927
207,47.093,25.04,208.203
208,47.093,25.24,208.203
209,47.093,25.439,208.203
210,47.093,25.539,208.203
