,X,Y,Z
0,5.765,1.569,204.664
1,5.765,1.667,204.664
2,5.765,1.765,204.664
3,5.765,1.863,204.664
4,5.765,1.961,204.664
5,5.765,2.059,204.664
6,5.765,2.157,204.664
7,5.765,2.256,204.664
8,5.765,2.354,204.664
9,5.866,2.455,204.932
10,5.866,2.651,204.932
11,5.866,2.848,204.932
12,5.866,2.946,204.932
13,5.866,3.044,204.932
14,5.866,3.142,204.932
15,5.866,3.24,204.932
16,5.866,3.339,204.932
17,5.866,3.437,204.932
18,5.866,3.535,204.932
19,5.866,3.633,204.932
20,5.866,3.731,204.932
21,5.866,3.83,204.932
22,5.866,3.928,204.932
23,5.866,4.026,204.932
24,5.866,4.124,204.932
25,5.866,4.222,204.932
26,5.866,4.321,204.932
27,5.866,4.419,204.932
28,5.866,4.517,204.932
29,5.866,4.615,204.932
30,5.866,4.713,204.932
31,5.966,4.72,205.201
32,5.966,4.818,205.201
33,5.966,4.916,205.201
34,5.966,5.014,205.201
35,5.966,5.113,205.201
36,5.966,5.211,205.201
37,5.966,5.408,205.201
38,5.966,5.506,205.201
39,5.966,5.604,205.201
40,6.068,5.809,205.47
41,6.068,6.006,205.47
42,6.068,6.104,205.47
43,6.068,6.301,205.47
44,6.068,6.399,205.47
45,6.068,6.498,205.47
46,6.068,6.596,205.47
47,6.068,6.695,205.47
48,6.068,6.793,205.47
49,6.068,6.892,205.47
50,6.068,6.99,205.47
51,6.068,7.089,205.47
52,6.068,7.187,205.47
53,6.068,7.285,205.47
54,6.068,7.384,205.47
55,6.068,7.482,205.47
56,6.068,7.581,205.47
57,6.068,7.679,205.47
58,6.068,7.778,205.47
59,6.068,7.876,205.47
60,6.068,8.27,205.47
61,6.169,8.281,205.74
62,6.169,8.478,205.74
63,6.169,8.577,205.74
64,6.169,8.675,205.74
65,6.169,8.774,205.74
66,6.169,8.872,205.74
67,6.169,8.971,205.74
68,6.169,9.07,205.74
69,6.169,9.168,205.74
70,6.169,9.267,205.74
71,6.169,9.365,205.74
72,6.169,9.464,205.74
73,6.169,9.562,205.74
74,6.169,9.661,205.74
75,6.169,9.76,205.74
76,6.169,9.858,205.74
77,6.169,9.957,205.74
78,6.169,10.055,205.74
79,6.169,10.154,205.74
80,6.169,10.253,205.74
81,6.169,10.351,205.74
82,6.169,10.45,205.74
83,6.169,10.647,205.74
84,6.169,10.844,205.74
85,6.169,10.943,205.74
86,6.27,10.957,206.011
87,6.27,11.056,206.011
88,6.27,11.154,206.011
89,6.27,11.253,206.011
90,6.27,11.352,206.011
91,6.27,11.451,206.011
92,6.27,11.549,206.011
93,6.27,11.648,206.011
94,6.27,11.747,206.011
95,6.27,11.845,206.011
96,6.27,11.944,206.011
97,6.372,12.059,206.283
98,6.372,12.158,206.283
99,6.372,12.256,206.283
100,6.372,12.454,206.283
101,6.372,12.553,206.283
102,6.372,12.652,206.283
103,6.372,12.751,206.283
104,6.372,12.849,206.283
105,6.372,12.948,206.283
106,6.372,13.047,206.283
107,6.372,13.146,206.283
108,6.372,13.245,206.283
109,6.372,13.344,206.283
110,6.372,13.442,206.283
111,6.372,13.541,206.283
112,6.372,13.64,206.283
113,6.372,13.739,206.283
114,6.372,13.838,206.283
115,6.372,13.937,206.283
116,6.372,14.036,206.283
117,6.372,14.134,206.283
118,6.372,14.332,206.283
119,6.474,14.45,206.555
120,6.474,14.648,206.555
121,6.474,14.846,206.555
122,6.474,14.945,206.555
123,6.474,15.044,206.555
124,6.474,15.143,206.555
125,6.474,15.242,206.555
126,6.474,15.341,206.555
127,6.474,15.44,206.555
128,6.474,15.539,206.555
129,6.474,15.638,206.555
130,6.474,15.737,206.555
131,6.474,15.836,206.555
132,6.474,16.033,206.555
133,6.474,16.231,206.555
134,6.474,16.33,206.555
135,6.474,16.429,206.555
136,6.577,16.451,206.828
137,6.577,16.649,206.828
138,6.577,16.748,206.828
139,6.577,16.847,206.828
140,6.577,16.947,206.828
141,6.577,17.046,206.828
142,6.577,17.145,206.828
143,6.577,17.244,206.828
144,6.577,17.343,206.828
145,6.577,17.442,206.828
146,6.577,17.541,206.828
147,6.577,17.64,206.828
148,6.577,17.739,206.828
149,6.577,17.839,206.828
150,6.577,17.938,206.828
151,6.577,18.037,206.828
152,6.577,18.136,206.828
153,6.577,18.235,206.828
154,6.577,18.334,206.828
155,6.577,18.433,206.828
156,6.577,18.532,206.828
157,6.577,18.631,206.828
158,6.577,18.73,206.828
159,6.577,18.83,206.828
160,6.577,18.929,206.828
161,6.577,19.028,206.828
162,6.577,19.127,206.828
163,6.679,19.45,207.101
