,X,Y,Z
0,27.565,1.467,204.13
1,27.565,1.565,204.13
2,27.565,1.761,204.13
3,27.665,1.959,204.397
4,27.665,2.057,204.397
5,27.665,2.253,204.397
6,27.665,2.351,204.397
7,27.665,2.448,204.397
8,27.665,2.546,204.397
9,27.665,2.644,204.397
10,27.665,2.742,204.397
11,27.665,2.84,204.397
12,27.665,2.938,204.397
13,27.665,3.036,204.397
14,27.665,3.134,204.397
15,27.665,3.33,204.397
16,27.665,3.526,204.397
17,27.665,3.624,204.397
18,27.665,3.722,204.397
19,27.765,3.727,204.664
20,27.765,3.923,204.664
21,27.765,4.021,204.664
22,27.765,4.119,204.664
23,27.765,4.217,204.664
24,27.765,4.315,204.664
25,27.765,4.413,204.664
26,27.765,4.511,204.664
27,27.765,4.609,204.664
28,27.765,4.707,204.664
29,27.765,4.805,204.664
30,27.866,5.106,204.932
31,27.866,5.401,204.932
32,27.866,5.499,204.932
33,27.866,5.597,204.932
34,27.866,5.695,204.932
35,27.866,5.793,204.932
36,27.866,5.892,204.932
37,27.866,5.99,204.932
38,27.866,6.088,204.932
39,27.866,6.186,204.932
40,27.866,6.284,204.932
41,27.866,6.383,204.932
42,27.866,6.481,204.932
43,27.866,6.579,204.932
44,27.866,6.677,204.932
45,27.866,6.775,204.932
46,27.866,6.874,204.932
47,27.866,6.972,204.932
48,27.866,7.07,204.932
49,27.966,7.079,205.201
50,27.966,7.178,205.201
51,27.966,7.276,205.201
52,27.966,7.374,205.201
53,27.966,7.473,205.201
54,27.966,7.571,205.201
55,27.966,7.768,205.201
56,27.966,7.866,205.201
57,27.966,7.964,205.201
58,27.966,8.063,205.201
59,27.966,8.161,205.201
60,27.966,8.259,205.201
61,27.966,8.357,205.201
62,27.966,8.456,205.201
63,27.966,8.554,205.201
64,27.966,8.652,205.201
65,27.966,8.751,205.201
66,27.966,8.849,205.201
67,27.966,8.947,205.201
68,27.966,9.046,205.201
69,27.966,9.144,205.201
70,27.966,9.242,205.201
71,27.966,9.341,205.201
72,27.966,9.537,205.201
73,28.068,9.747,205.47
74,28.068,9.845,205.47
75,28.068,10.042,205.47
76,28.068,10.141,205.47
77,28.068,10.239,205.47
78,28.068,10.338,205.47
79,28.068,10.436,205.47
80,28.068,10.534,205.47
81,28.068,10.633,205.47
82,28.068,10.731,205.47
83,28.068,10.83,205.47
84,28.068,10.928,205.47
85,28.068,11.027,205.47
86,28.068,11.224,205.47
87,28.068,11.322,205.47
88,28.068,11.42,205.47
89,28.068,11.519,205.47
90,28.068,11.617,205.47
91,28.169,11.731,205.74
92,28.169,11.83,205.74
93,28.169,11.928,205.74
94,28.169,12.027,205.74
95,28.169,12.126,205.74
96,28.169,12.224,205.74
97,28.169,12.323,205.74
98,28.169,12.421,205.74
99,28.169,12.52,205.74
100,28.169,12.618,205.74
101,28.169,12.816,205.74
102,28.27,13.227,206.011
103,28.27,13.425,206.011
104,28.27,13.523,206.011
105,28.27,13.622,206.011
106,28.27,13.721,206.011
107,28.27,13.82,206.011
108,28.27,13.918,206.011
109,28.27,14.017,206.011
110,28.27,14.116,206.011
111,28.27,14.214,206.011
112,28.27,14.313,206.011
113,28.27,14.412,206.011
114,28.27,14.511,206.011
115,28.27,14.609,206.011
116,28.27,14.708,206.011
117,28.27,14.807,206.011
118,28.27,14.905,206.011
119,28.27,15.004,206.011
120,28.27,15.202,206.011
121,28.372,15.222,206.283
122,28.372,15.32,206.283
123,28.372,15.518,206.283
124,28.372,15.617,206.283
125,28.372,15.716,206.283
126,28.372,15.815,206.283
127,28.372,15.914,206.283
128,28.372,16.012,206.283
129,28.372,16.111,206.283
130,28.372,16.21,206.283
131,28.372,16.309,206.283
132,28.372,16.408,206.283
133,28.372,16.507,206.283
134,28.372,16.605,206.283
135,28.372,16.704,206.283
136,28.372,16.803,206.283
137,28.372,16.902,206.283
138,28.372,17.001,206.283
139,28.372,17.1,206.283
140,28.372,17.198,206.283
141,28.372,17.297,206.283
142,28.372,17.396,206.283
143,28.372,17.495,206.283
144,28.372,17.693,206.283
145,28.372,17.791,206.283
146,28.372,17.989,206.283
147,28.474,18.112,206.555
148,28.474,18.211,206.555
149,28.474,18.31,206.555
150,28.474,18.409,206.555
151,28.474,18.508,206.555
152,28.474,18.607,206.555
153,28.474,18.706,206.555
154,28.474,18.805,206.555
155,28.474,18.904,206.555
156,28.474,19.003,206.555
157,28.474,19.102,206.555
158,28.474,19.201,206.555
159,28.474,19.3,206.555
160,28.474,19.399,206.555
161,28.474,19.498,206.555
162,28.474,19.596,206.555
163,28.474,19.695,206.555
164,28.474,19.794,206.555
165,28.474,19.893,206.555
166,28.474,20.091,206.555
167,28.577,20.118,206.828
168,28.577,20.514,206.828
169,28.577,20.812,206.828
170,28.577,21.109,206.828
171,28.474,21.18,206.555
172,28.577,21.307,206.828
173,28.577,21.406,206.828
174,28.577,21.505,206.828
175,28.577,21.604,206.828
176,28.577,21.704,206.828
177,28.577,21.803,206.828
178,28.577,21.902,206.828
179,28.577,22.001,206.828
180,28.577,22.1,206.828
181,28.577,22.199,206.828
182,28.577,22.298,206.828
183,28.577,22.397,206.828
184,28.577,22.595,206.828
185,28.679,22.725,207.101
186,28.679,22.923,207.101
187,28.679,23.022,207.101
188,28.679,23.122,207.101
189,28.679,23.221,207.101
190,28.679,23.32,207.101
191,28.679,23.419,207.101
192,28.679,23.518,207.101
193,28.679,23.618,207.101
194,28.679,23.717,207.101
195,28.679,23.816,207.101
196,28.782,23.848,207.376
197,28.782,23.947,207.376
198,28.782,24.046,207.376
199,28.782,24.146,207.376
200,28.782,24.245,207.376
201,28.782,24.345,207.376
202,28.782,24.543,207.376
203,28.782,24.643,207.376
204,28.782,24.742,207.376
205,28.782,24.841,207.376
206,28.782,24.941,207.376
207,28.782,25.04,207.376
208,28.782,25.139,207.376
209,28.782,25.239,207.376
210,28.782,25.338,207.376
211,28.782,25.438,207.376
212,28.885,25.571,207.651
213,28.885,25.67,207.651
214,28.885,25.969,207.651
215,28.885,26.068,207.651
216,28.885,26.267,207.651
217,28.885,26.367,207.651
218,28.885,26.466,207.651
219,28.885,26.566,207.651
220,28.885,26.665,207.651
221,28.885,26.765,207.651
222,28.885,26.864,207.651
223,28.885,26.964,207.651
224,28.885,27.063,207.651
225,28.885,27.461,207.651
226,28.989,27.498,207.927
227,28.989,27.697,207.927
228,28.989,27.797,207.927
229,28.989,27.896,207.927
230,28.989,27.996,207.927
231,28.989,28.096,207.927
232,28.989,28.195,207.927
233,28.989,28.295,207.927
234,28.989,28.394,207.927
235,28.989,28.494,207.927
236,28.989,28.594,207.927
237,28.989,28.693,207.927
238,28.989,28.893,207.927
239,28.989,29.092,207.927
240,28.989,29.191,207.927
241,28.885,29.252,207.651
242,28.989,29.291,207.927
243,28.885,29.451,207.651
244,28.989,29.49,207.927
245,28.989,29.69,207.927
246,28.989,29.889,207.927
247,28.989,29.988,207.927
248,28.989,30.088,207.927
249,28.989,30.487,207.927
250,28.989,30.586,207.927
251,29.093,30.727,208.203
252,29.093,30.826,208.203
253,29.093,30.926,208.203
254,29.093,31.126,208.203
255,29.093,31.226,208.203
256,29.093,31.325,208.203
257,29.093,31.425,208.203
258,29.093,31.525,208.203
259,29.093,31.625,208.203
260,29.093,31.724,208.203
261,29.093,31.824,208.203
262,29.093,31.924,208.203
263,29.093,32.024,208.203
