,X,Y,Z
0,41.465,1.856,203.865
1,41.465,1.954,203.865
2,41.465,3.419,203.865
3,41.465,3.517,203.865
4,41.465,4.591,203.865
5,41.565,4.891,204.13
6,41.565,4.988,204.13
7,41.565,5.184,204.13
8,41.565,5.282,204.13
9,41.565,5.38,204.13
10,41.565,5.477,204.13
11,41.565,5.575,204.13
12,41.565,5.673,204.13
13,41.565,5.771,204.13
14,41.565,5.869,204.13
15,41.565,5.966,204.13
16,41.565,6.064,204.13
17,41.565,6.162,204.13
18,41.565,6.26,204.13
19,41.565,6.358,204.13
20,41.565,6.553,204.13
21,41.565,6.651,204.13
22,41.565,6.749,204.13
23,41.665,7.247,204.397
24,41.665,7.345,204.397
25,41.665,7.639,204.397
