X,Y,Z
3.197,31.167,208.481
3.197,31.267,208.481
3.197,31.367,208.481
3.197,31.467,208.481
3.197,31.567,208.481
3.197,31.667,208.481
3.197,31.767,208.481
3.197,31.866,208.481
3.197,32.066,208.481
3.197,32.166,208.481
3.197,32.266,208.481
3.301,32.409,208.759
3.301,32.509,208.759
3.301,32.909,208.759
3.405,33.154,209.037
3.405,33.354,209.037
3.405,33.554,209.037
3.405,33.654,209.037
3.405,33.754,209.037
3.405,33.855,209.037
3.405,33.955,209.037
3.405,34.055,209.037
3.405,34.155,209.037
3.405,34.255,209.037
3.405,34.355,209.037
3.405,34.456,209.037
3.405,34.556,209.037
3.405,34.656,209.037
3.405,34.756,209.037
3.405,34.856,209.037
3.405,34.956,209.037
3.405,35.057,209.037
3.405,35.157,209.037
3.405,35.257,209.037
3.405,35.357,209.037
3.405,35.457,209.037
3.405,35.557,209.037
3.405,35.658,209.037
3.405,35.758,209.037
3.405,35.858,209.037
3.405,35.958,209.037
3.405,36.058,209.037
3.405,36.158,209.037
3.51,36.508,209.317
3.51,36.808,209.317
3.51,36.909,209.317
3.51,37.009,209.317
3.51,37.109,209.317
3.51,37.21,209.317
3.51,37.31,209.317
3.51,37.41,209.317
3.51,37.511,209.317
3.51,37.611,209.317
3.51,37.711,209.317
3.51,37.811,209.317
3.51,37.912,209.317
3.51,38.012,209.317
3.51,38.112,209.317
3.51,38.213,209.317
3.51,38.313,209.317
3.51,38.413,209.317
3.51,38.614,209.317
3.51,38.714,209.317
3.615,38.866,209.597
3.615,38.967,209.597
3.827,39.071,210.16
3.51,39.015,209.317
3.51,39.115,209.317
3.51,39.316,209.317
3.51,39.516,209.317
3.615,39.569,209.597
3.665,1.469,204.397
3.765,1.471,204.664
3.765,1.569,204.664
3.765,1.667,204.664
3.765,1.765,204.664
3.765,1.863,204.664
3.765,1.961,204.664
3.765,2.059,204.664
3.765,2.157,204.664
3.765,2.256,204.664
3.765,2.452,204.664
3.765,2.55,204.664
3.765,2.746,204.664
3.866,2.946,204.932
3.866,3.044,204.932
3.866,3.142,204.932
3.866,3.24,204.932
3.866,3.339,204.932
3.866,3.437,204.932
3.866,3.535,204.932
3.866,3.633,204.932
3.866,3.731,204.932
3.866,3.83,204.932
3.866,3.928,204.932
3.866,4.124,204.932
3.866,4.222,204.932
3.866,4.419,204.932
3.866,4.517,204.932
3.966,4.523,205.201
3.966,4.72,205.201
3.966,4.818,205.201
3.966,4.916,205.201
3.966,5.014,205.201
3.966,5.113,205.201
3.966,5.211,205.201
3.966,5.309,205.201
3.966,5.408,205.201
3.966,5.506,205.201
3.966,5.604,205.201
3.966,5.703,205.201
3.966,5.801,205.201
3.966,5.899,205.201
3.966,5.998,205.201
3.966,6.096,205.201
3.966,6.194,205.201
3.966,6.293,205.201
3.966,6.391,205.201
4.068,6.596,205.47
4.068,6.793,205.47
4.068,6.892,205.47
4.068,7.089,205.47
4.068,7.285,205.47
4.068,7.482,205.47
4.169,7.689,205.74
4.169,7.887,205.74
4.169,7.985,205.74
4.169,8.084,205.74
4.169,8.182,205.74
4.169,8.281,205.74
4.169,8.379,205.74
4.169,8.478,205.74
4.169,8.577,205.74
4.169,8.675,205.74
4.169,8.774,205.74
4.169,8.872,205.74
4.169,8.971,205.74
4.169,9.07,205.74
4.169,9.168,205.74
4.169,9.267,205.74
4.169,9.365,205.74
4.169,9.464,205.74
4.169,9.562,205.74
4.169,9.661,205.74
4.169,9.76,205.74
4.169,9.858,205.74
4.169,9.957,205.74
4.169,10.055,205.74
4.169,10.154,205.74
4.169,10.253,205.74
4.169,10.351,205.74
4.169,10.45,205.74
4.169,10.548,205.74
4.169,10.647,205.74
4.169,10.745,205.74
4.169,10.844,205.74
4.169,10.943,205.74
4.169,11.041,205.74
4.27,11.154,206.011
4.27,11.352,206.011
4.27,11.451,206.011
4.27,11.648,206.011
4.27,11.747,206.011
4.27,11.845,206.011
4.27,11.944,206.011
4.27,12.043,206.011
4.27,12.142,206.011
4.27,12.24,206.011
4.27,12.339,206.011
4.27,12.438,206.011
4.27,12.536,206.011
4.27,12.635,206.011
4.27,12.734,206.011
4.27,12.833,206.011
4.27,12.931,206.011
4.27,13.03,206.011
4.27,13.129,206.011
4.27,13.227,206.011
4.27,13.326,206.011
4.27,13.425,206.011
4.372,13.442,206.283
4.372,13.541,206.283
4.372,13.64,206.283
4.372,13.739,206.283
4.372,13.838,206.283
4.372,13.937,206.283
4.372,14.036,206.283
4.372,14.134,206.283
4.372,14.233,206.283
4.372,14.332,206.283
4.372,14.431,206.283
4.372,14.53,206.283
4.372,14.629,206.283
4.372,14.727,206.283
4.372,14.826,206.283
4.372,14.925,206.283
4.372,15.024,206.283
4.474,15.044,206.555
4.474,15.143,206.555
4.474,15.341,206.555
4.474,15.539,206.555
4.474,15.638,206.555
4.474,15.737,206.555
4.474,15.836,206.555
4.474,15.935,206.555
4.474,16.033,206.555
4.474,16.132,206.555
4.474,16.231,206.555
4.474,16.33,206.555
4.474,16.429,206.555
4.474,16.528,206.555
4.474,16.726,206.555
4.474,16.825,206.555
4.474,16.924,206.555
4.474,17.122,206.555
4.474,17.32,206.555
4.577,17.343,206.828
4.577,17.442,206.828
4.679,17.564,207.101
4.679,17.763,207.101
4.679,17.961,207.101
4.679,18.061,207.101
4.679,18.16,207.101
4.679,18.358,207.101
4.577,18.532,206.828
4.577,18.631,206.828
4.577,18.83,206.828
4.577,18.929,206.828
4.577,19.028,206.828
4.679,19.152,207.101
4.679,19.351,207.101
4.679,19.549,207.101
4.679,19.648,207.101
4.679,19.748,207.101
4.679,19.847,207.101
4.679,19.946,207.101
4.679,20.045,207.101
4.679,20.145,207.101
