,X,Y,Z
0,47.765,1.275,204.664
1,47.866,1.375,204.932
2,47.866,1.473,204.932
3,47.866,1.571,204.932
4,47.866,1.669,204.932
5,47.866,1.768,204.932
6,47.866,1.866,204.932
7,47.866,1.964,204.932
8,47.866,2.062,204.932
9,47.866,2.16,204.932
10,47.866,2.258,204.932
11,47.866,2.357,204.932
12,47.866,2.553,204.932
13,47.866,2.651,204.932
14,47.866,2.749,204.932
15,47.866,2.848,204.932
16,47.866,2.946,204.932
17,47.866,3.044,204.932
18,47.966,3.048,205.201
19,47.966,3.146,205.201
20,47.966,3.245,205.201
21,47.966,3.343,205.201
22,47.966,3.441,205.201
23,47.966,3.54,205.201
24,47.966,3.638,205.201
25,47.966,3.736,205.201
26,47.966,3.835,205.201
27,47.966,4.031,205.201
28,48.068,4.233,205.47
29,48.068,4.332,205.47
30,48.068,4.529,205.47
31,48.068,4.627,205.47
32,48.068,4.726,205.47
33,48.068,4.824,205.47
34,48.068,4.923,205.47
35,48.068,5.021,205.47
36,48.068,5.12,205.47
37,48.068,5.218,205.47
38,48.068,5.316,205.47
39,48.068,5.415,205.47
40,48.068,5.513,205.47
41,48.068,5.612,205.47
42,48.068,5.71,205.47
43,48.068,5.809,205.47
44,48.068,5.907,205.47
45,48.068,6.006,205.47
46,48.068,6.104,205.47
47,48.068,6.203,205.47
48,48.068,6.301,205.47
49,48.068,6.399,205.47
50,48.068,6.498,205.47
51,48.068,6.596,205.47
52,48.068,6.695,205.47
53,48.068,6.793,205.47
54,48.068,6.892,205.47
55,48.068,6.99,205.47
56,48.068,7.089,205.47
57,48.068,7.482,205.47
58,48.169,7.492,205.74
59,48.169,7.689,205.74
60,48.169,7.788,205.74
61,48.169,7.887,205.74
62,48.169,7.985,205.74
63,48.27,8.094,206.011
64,48.27,8.292,206.011
65,48.27,8.39,206.011
66,48.27,8.489,206.011
67,48.27,8.588,206.011
68,48.27,8.687,206.011
69,48.27,8.785,206.011
70,48.27,8.884,206.011
71,48.27,8.983,206.011
72,48.27,9.081,206.011
73,48.27,9.18,206.011
74,48.27,9.279,206.011
75,48.27,9.378,206.011
76,48.27,9.476,206.011
77,48.27,9.575,206.011
78,48.27,9.674,206.011
79,48.27,9.772,206.011
80,48.27,9.871,206.011
81,48.27,9.97,206.011
82,48.27,10.069,206.011
83,48.27,10.167,206.011
84,48.27,10.266,206.011
85,48.27,10.463,206.011
86,48.372,10.477,206.283
87,48.372,10.576,206.283
88,48.372,10.774,206.283
89,48.372,10.873,206.283
90,48.372,10.971,206.283
91,48.372,11.07,206.283
92,48.372,11.169,206.283
93,48.372,11.268,206.283
94,48.372,11.367,206.283
95,48.372,11.564,206.283
96,48.474,11.679,206.555
97,48.474,11.778,206.555
98,48.474,11.877,206.555
99,48.474,11.976,206.555
100,48.474,12.075,206.555
101,48.474,12.174,206.555
102,48.474,12.273,206.555
103,48.474,12.372,206.555
104,48.474,12.47,206.555
105,48.474,12.569,206.555
106,48.474,12.668,206.555
107,48.474,12.767,206.555
108,48.474,12.866,206.555
109,48.474,12.965,206.555
110,48.474,13.064,206.555
111,48.474,13.163,206.555
112,48.474,13.262,206.555
113,48.474,13.361,206.555
114,48.474,13.46,206.555
115,48.474,13.559,206.555
116,48.474,13.658,206.555
117,48.474,13.757,206.555
118,48.474,13.856,206.555
119,48.474,13.955,206.555
120,48.474,14.054,206.555
121,48.474,14.153,206.555
122,48.474,14.252,206.555
123,48.474,14.351,206.555
124,48.474,14.45,206.555
125,48.474,14.549,206.555
126,48.474,14.648,206.555
127,48.474,14.747,206.555
128,48.474,14.846,206.555
129,48.474,14.945,206.555
130,48.474,15.044,206.555
131,48.474,15.143,206.555
132,48.474,15.242,206.555
133,48.474,15.341,206.555
134,48.474,15.44,206.555
135,48.474,15.539,206.555
136,48.474,15.638,206.555
137,48.474,15.737,206.555
138,48.474,15.935,206.555
139,48.474,16.033,206.555
140,48.474,16.132,206.555
141,48.474,16.33,206.555
142,48.474,16.528,206.555
143,48.577,16.55,206.828
144,48.577,16.649,206.828
145,48.679,16.771,207.101
146,48.679,16.969,207.101
147,48.679,17.167,207.101
148,48.679,17.267,207.101
149,48.679,17.366,207.101
150,48.679,17.465,207.101
151,48.679,17.564,207.101
152,48.679,17.664,207.101
153,48.679,17.763,207.101
154,48.679,17.862,207.101
155,48.679,17.961,207.101
156,48.679,18.061,207.101
157,48.679,18.16,207.101
158,48.679,18.259,207.101
159,48.679,18.656,207.101
160,48.782,18.681,207.376
161,48.782,18.78,207.376
162,48.782,18.979,207.376
163,48.782,19.078,207.376
164,48.782,19.178,207.376
165,48.782,19.277,207.376
166,48.782,19.376,207.376
167,48.782,19.476,207.376
168,48.782,19.575,207.376
169,48.782,19.674,207.376
170,48.782,19.774,207.376
171,48.782,19.873,207.376
172,48.782,19.972,207.376
173,48.782,20.072,207.376
174,48.782,20.171,207.376
175,48.782,20.271,207.376
176,48.782,20.37,207.376
177,48.782,20.469,207.376
178,48.782,20.569,207.376
179,48.782,20.668,207.376
180,48.782,20.767,207.376
181,48.782,20.867,207.376
182,48.782,20.966,207.376
183,48.782,21.065,207.376
184,48.782,21.165,207.376
185,48.782,21.264,207.376
186,48.782,21.364,207.376
187,48.782,21.463,207.376
188,48.782,21.562,207.376
189,48.782,21.662,207.376
190,48.782,21.761,207.376
191,48.782,21.86,207.376
192,48.782,21.96,207.376
193,48.782,22.059,207.376
194,48.782,22.159,207.376
195,48.782,22.258,207.376
196,48.885,22.387,207.651
197,48.885,22.486,207.651
198,48.885,22.785,207.651
199,48.885,22.884,207.651
200,48.885,23.083,207.651
201,48.885,23.183,207.651
202,48.989,23.413,207.927
203,48.989,23.513,207.927
204,48.989,23.712,207.927
205,48.989,23.811,207.927
206,49.093,23.843,208.203
207,49.093,23.943,208.203
208,49.093,24.043,208.203
209,49.093,24.142,208.203
210,49.093,24.242,208.203
211,49.093,24.342,208.203
212,49.093,24.442,208.203
213,49.093,24.541,208.203
214,49.093,24.641,208.203
215,49.093,24.741,208.203
216,49.093,24.841,208.203
217,49.093,24.94,208.203
218,49.093,25.04,208.203
219,49.093,25.14,208.203
220,49.093,25.24,208.203
221,49.093,25.34,208.203
222,49.093,25.439,208.203
223,49.093,25.539,208.203
224,49.093,25.639,208.203
225,49.093,25.838,208.203
226,49.197,25.873,208.481
227,49.197,25.973,208.481
228,49.197,26.073,208.481
229,49.093,26.138,208.203
230,49.197,26.172,208.481
231,49.093,26.237,208.203
232,49.093,26.337,208.203
233,49.093,26.437,208.203
234,49.093,26.537,208.203
235,49.093,26.636,208.203
236,49.093,26.736,208.203
237,49.093,26.836,208.203
238,49.093,26.936,208.203
239,49.093,27.035,208.203
240,49.093,27.135,208.203
241,49.093,27.235,208.203
242,49.093,27.335,208.203
243,49.093,27.435,208.203
244,49.093,27.534,208.203
245,49.093,27.634,208.203
246,49.093,27.734,208.203
247,49.093,27.834,208.203
248,49.197,27.871,208.481
249,49.197,27.971,208.481
250,49.197,28.07,208.481
251,49.197,28.17,208.481
252,49.197,28.27,208.481
253,49.197,28.37,208.481
254,49.197,28.47,208.481
255,49.197,28.57,208.481
256,49.197,28.67,208.481
257,49.197,28.77,208.481
258,49.197,28.87,208.481
259,49.197,28.97,208.481
260,49.197,29.069,208.481
261,49.197,29.169,208.481
262,49.197,29.269,208.481
263,49.197,29.369,208.481
264,49.197,29.469,208.481
265,49.197,29.569,208.481
266,49.197,29.769,208.481
267,49.301,30.008,208.759
268,49.301,30.108,208.759
269,49.301,30.309,208.759
270,49.301,30.409,208.759
271,49.301,30.509,208.759
272,49.301,30.609,208.759
273,49.301,30.709,208.759
274,49.301,30.809,208.759
275,49.301,30.909,208.759
276,49.301,31.009,208.759
277,49.301,31.109,208.759
278,49.301,31.209,208.759
279,49.197,31.267,208.481
280,49.197,31.367,208.481
281,49.197,31.467,208.481
282,49.301,31.709,208.759
283,49.301,31.809,208.759
284,49.301,32.009,208.759
285,49.301,32.109,208.759
286,49.301,32.209,208.759
287,49.301,32.309,208.759
288,49.301,32.409,208.759
289,49.301,32.509,208.759
290,49.301,32.609,208.759
291,49.301,32.709,208.759
292,49.301,32.909,208.759
293,49.301,33.209,208.759
294,49.405,33.454,209.037
295,49.405,33.654,209.037
296,49.405,33.754,209.037
297,49.405,33.855,209.037
298,49.405,33.955,209.037
299,49.405,34.055,209.037
300,49.405,34.155,209.037
301,49.405,34.255,209.037
302,49.405,34.355,209.037
303,49.405,34.456,209.037
304,49.51,34.602,209.317
305,49.51,34.803,209.317
306,49.51,35.003,209.317
307,49.51,35.103,209.317
308,49.51,35.204,209.317
309,49.51,35.304,209.317
310,49.51,35.404,209.317
311,49.51,35.505,209.317
312,49.51,35.605,209.317
313,49.51,35.705,209.317
314,49.51,35.806,209.317
315,49.51,35.906,209.317
316,49.51,36.006,209.317
317,49.51,36.106,209.317
318,49.51,36.307,209.317
319,49.51,36.407,209.317
320,49.51,36.508,209.317
321,49.51,36.608,209.317
322,49.51,36.708,209.317
323,49.51,36.808,209.317
324,49.615,36.858,209.597
325,49.615,36.958,209.597
326,49.615,37.059,209.597
327,49.615,37.159,209.597
328,49.615,37.26,209.597
329,49.615,37.36,209.597
330,49.615,37.46,209.597
331,49.615,37.561,209.597
332,49.615,37.661,209.597
333,49.615,37.762,209.597
334,49.615,37.862,209.597
335,49.615,37.963,209.597
336,49.615,38.063,209.597
337,49.615,38.163,209.597
338,49.615,38.264,209.597
339,49.615,38.364,209.597
340,49.615,38.465,209.597
341,49.615,38.565,209.597
342,49.615,38.666,209.597
343,49.615,38.766,209.597
344,49.615,38.866,209.597
345,49.615,38.967,209.597
346,49.615,39.067,209.597
347,49.615,39.168,209.597
348,49.615,39.268,209.597
349,49.615,39.369,209.597
