,X,Y,Z
0,29.565,1.565,204.13
1,29.565,1.761,204.13
2,29.565,1.956,204.13
3,29.665,2.057,204.397
4,29.665,2.155,204.397
5,29.665,2.351,204.397
6,29.665,2.448,204.397
7,29.665,2.546,204.397
8,29.665,2.644,204.397
9,29.665,2.742,204.397
10,29.665,2.84,204.397
11,29.665,2.938,204.397
12,29.665,3.036,204.397
13,29.665,3.134,204.397
14,29.665,3.232,204.397
15,29.665,3.33,204.397
16,29.665,3.428,204.397
17,29.665,3.526,204.397
18,29.665,3.624,204.397
19,29.665,3.722,204.397
20,29.665,3.82,204.397
21,29.765,3.923,204.664
22,29.765,4.119,204.664
23,29.765,4.217,204.664
24,29.765,4.413,204.664
25,29.765,4.609,204.664
26,29.765,4.707,204.664
27,29.765,4.805,204.664
28,29.765,4.903,204.664
29,29.765,5.001,204.664
30,29.765,5.099,204.664
31,29.765,5.198,204.664
32,29.765,5.296,204.664
33,29.765,5.394,204.664
34,29.765,5.59,204.664
35,29.765,5.688,204.664
36,29.765,5.786,204.664
37,29.866,5.793,204.932
38,29.866,5.892,204.932
39,29.866,6.088,204.932
40,29.866,6.383,204.932
41,29.966,6.391,205.201
42,29.966,6.588,205.201
43,29.966,6.686,205.201
44,29.866,6.775,204.932
45,29.966,6.784,205.201
46,29.866,6.972,204.932
47,29.866,7.07,204.932
48,29.866,7.168,204.932
49,29.966,7.374,205.201
50,29.966,7.571,205.201
51,29.966,7.768,205.201
52,29.966,7.866,205.201
53,29.966,7.964,205.201
54,29.966,8.063,205.201
55,29.966,8.161,205.201
56,29.966,8.259,205.201
57,29.966,8.357,205.201
58,29.966,8.456,205.201
59,29.966,8.554,205.201
60,29.966,8.652,205.201
61,29.966,8.751,205.201
62,29.966,8.849,205.201
63,29.966,8.947,205.201
64,29.966,9.046,205.201
65,29.966,9.144,205.201
66,29.966,9.242,205.201
67,29.966,9.341,205.201
68,29.966,9.439,205.201
69,29.966,9.636,205.201
70,30.068,9.747,205.47
71,30.068,9.944,205.47
72,30.068,10.042,205.47
73,30.068,10.141,205.47
74,30.068,10.239,205.47
75,30.068,10.633,205.47
76,30.169,10.647,205.74
77,30.169,10.844,205.74
78,30.169,10.943,205.74
79,30.169,11.041,205.74
80,30.169,11.14,205.74
81,30.169,11.238,205.74
82,30.169,11.337,205.74
83,30.169,11.435,205.74
84,30.169,11.534,205.74
85,30.169,11.633,205.74
86,30.169,11.731,205.74
87,30.169,11.83,205.74
88,30.169,11.928,205.74
89,30.169,12.027,205.74
90,30.169,12.126,205.74
91,30.169,12.224,205.74
92,30.169,12.323,205.74
